"date","NDVI","mission","type","year","yday","NDVIMissionPred","MissionResid","ReprojPred","NDVIReprojected"
2003-10-20,0.552222165850658,"landsat 5","forest",2003,293,0.565571570602369,-0.0133494047517112,0.676166868831922,0.662817464080211
2003-10-27,0.55198571068027,"landsat 5","forest",2003,300,0.507362458076641,0.0446232526036285,0.62705205515928,0.671675307762908
2003-11-12,0.282140524065395,"landsat 5","forest",2003,316,0.379337546209218,-0.0971970221438232,0.5114606435092,0.414263621365377
2003-11-19,0.366684280255522,"landsat 5","forest",2003,323,0.332027167314732,0.0346571129407898,0.469966039829266,0.504623152770056
2003-11-21,0.372704699962741,"landsat 5","forest",2003,325,0.319827254645994,0.0528774453167465,0.460013860428724,0.51289130574547
2003-12-05,0.263963210575202,"landsat 5","forest",2003,339,0.250633967509991,0.013329243065211,0.419038587340845,0.432367830406056
2003-12-07,0.263963210575202,"landsat 5","forest",2003,341,0.242798276568339,0.0211649340068634,0.417312385401558,0.438477319408421
2003-12-14,0.256510073116246,"landsat 5","forest",2003,348,0.218325955985818,0.0381841171304276,0.418132931506143,0.456317048636571
2003-12-21,0.0956306689313263,"landsat 5","forest",2003,355,0.197048010368342,-0.101417341437016,0.426931470800228,0.325514129363212
2003-12-23,0.0948074070801298,"landsat 5","forest",2003,357,0.191308030791341,-0.0965006237112112,0.430352582547286,0.333851958836075
2003-12-30,0.244375389751205,"landsat 5","forest",2003,364,0.171707136149666,0.0726682536015392,0.443697337173133,0.516365590774672
2004-01-06,0.288444008922769,"landsat 5","forest",2004,6,0.21073486769703,0.0777091412257389,0.440732651859464,0.518441793085203
2004-01-15,0.185948533873247,"landsat 5","forest",2004,15,0.179674782801602,0.00627375107164455,0.422928697180006,0.42920244825165
2004-01-22,0.178157850004529,"landsat 5","forest",2004,22,0.161186027260986,0.0169718227435426,0.410644387542887,0.427616210286429
2004-01-24,0.161368976466933,"landsat 5","forest",2004,24,0.157322944390444,0.00404603207648893,0.407484617908712,0.411530649985201
2004-01-31,0.186730469833811,"landsat 5","forest",2004,31,0.149776183187125,0.0369542866466863,0.397661084204387,0.434615370851073
2004-02-07,-0.00151299587908949,"landsat 5","forest",2004,38,0.151790433760189,-0.153303429639278,0.389282491218803,0.235979061579524
2004-02-16,0.0578005502610503,"landsat 5","forest",2004,47,0.166055341496679,-0.108254791235629,0.378869859397965,0.270615068162336
2004-02-23,0.283870966944413,"landsat 5","forest",2004,54,0.182527561409178,0.101343405535235,0.369676450247392,0.471019855782627
2004-02-25,0.283991233991842,"landsat 5","forest",2004,56,0.18758069181596,0.0964105421758815,0.36678794965213,0.463198491828012
2004-03-10,0.287001863178041,"landsat 5","forest",2004,70,0.2217549827124,0.0652468804656414,0.345480016064013,0.410726896529654
2004-03-12,0.287001863178041,"landsat 5","forest",2004,72,0.226291305103512,0.0607105580745293,0.342886214933174,0.403596773007704
2004-03-19,0.280723187309272,"landsat 5","forest",2004,79,0.24229190511214,0.0384312821971323,0.336998216931914,0.375429499129046
2004-03-28,0.231650739511543,"landsat 5","forest",2004,88,0.266807788150243,-0.0351570486387002,0.341691216609853,0.306534167971152
2004-04-04,0.33580118019158,"landsat 5","forest",2004,95,0.29311539676844,0.0426857834231398,0.359297021945776,0.401982805368916
2004-04-11,0.337704980586313,"landsat 5","forest",2004,102,0.328709323633149,0.00899565695316445,0.391378277438103,0.400373934391267
2004-04-13,0.342589413020366,"landsat 5","forest",2004,104,0.34076978275814,0.00181963026222554,0.403233339250323,0.405052969512549
2004-04-20,0.34260474877367,"landsat 5","forest",2004,111,0.389403798310534,-0.046799049536864,0.453277681617227,0.406478632080363
2004-04-27,0.531149391599223,"landsat 5","forest",2004,118,0.44639388256513,0.084755509034093,0.513876577355525,0.598632086389618
2004-04-29,0.531149391599223,"landsat 5","forest",2004,120,0.463748323674515,0.0674010679247085,0.53246005427449,0.599861122199199
2004-05-06,0.589587448535717,"landsat 5","forest",2004,127,0.526121923166373,0.0634655253693439,0.599137134476774,0.662602659846118
2004-05-15,NA,"landsat 5","forest",2004,136,0.604256989151796,NA,0.681229527406333,NA
2004-05-22,NA,"landsat 5","forest",2004,143,0.658332557918217,NA,0.735905648740253,NA
2004-05-29,0.782129109823608,"landsat 5","forest",2004,150,0.70355598334907,0.078573126474538,0.778943584907805,0.857516711382343
2004-05-31,0.782129109823608,"landsat 5","forest",2004,152,0.714666157253881,0.0674629525697273,0.788903730373112,0.856366682942839
2004-06-07,0.750134888877157,"landsat 5","forest",2004,159,0.747178321998264,0.00295656687889279,0.815740286313536,0.818696853192429
2004-06-14,0.749471068069496,"landsat 5","forest",2004,166,0.770452347071777,-0.0209812790022808,0.83142186856762,0.810440589565339
2004-06-23,0.808714413735863,"landsat 5","forest",2004,175,0.789162503649145,0.0195519100867179,0.839537409415781,0.859089319502499
2004-06-30,0.806722404274875,"landsat 5","forest",2004,182,0.797045298193959,0.00967710608091588,0.84029582345669,0.849972929537606
2004-07-02,0.80601241838295,"landsat 5","forest",2004,184,0.798456683199117,0.00755573518383335,0.840050888588874,0.847606623772707
2004-07-09,0.754436522590198,"landsat 5","forest",2004,191,0.801026046908105,-0.0465895243179066,0.838564511072362,0.791974986754456
2004-07-16,0.74970339165495,"landsat 5","forest",2004,198,0.800620449152905,-0.0509170574979545,0.83701914025599,0.786102082758036
2004-07-18,0.816243555645997,"landsat 5","forest",2004,200,0.800073928901595,0.0161696267444016,0.836652411146512,0.852822037890913
2004-07-25,0.796351562939261,"landsat 5","forest",2004,207,0.797040140696803,-0.000688577757541609,0.835635790263005,0.834947212505464
2004-08-01,0.793158859870806,"landsat 5","forest",2004,214,0.792880940832134,0.000277919038671803,0.834780194534587,0.835058113573259
2004-08-03,0.798906857446918,"landsat 5","forest",2004,216,0.791599281923103,0.007307575523815,0.834504688993661,0.841812264517476
2004-08-17,0.739789881339479,"landsat 5","forest",2004,230,0.782985531369048,-0.043195650029569,0.831298935660949,0.78810328563138
2004-08-19,0.739789881339479,"landsat 5","forest",2004,232,0.781861153724102,-0.0420712723846229,0.830596637927127,0.788525365542504
2004-08-26,0.666573463373644,"landsat 5","forest",2004,239,0.77781828197103,-0.111244818597386,0.827537237333464,0.716292418736079
2004-09-02,0.71556163682746,"landsat 5","forest",2004,246,0.772562989109794,-0.0570013522823338,0.823285080056315,0.766283727773981
2004-09-04,0.766442090647565,"landsat 5","forest",2004,248,0.770573863007166,-0.00413177235960149,0.821768568747191,0.81763679638759
2004-09-11,0.710355230403882,"landsat 5","forest",2004,255,0.760745239993553,-0.0503900095896714,0.81490764463373,0.764517635044059
2004-09-18,0.719149056430803,"landsat 5","forest",2004,262,0.74456687404339,-0.0254178176125871,0.804520101023852,0.779102283411264
2004-09-20,0.745117424328641,"landsat 5","forest",2004,264,0.738459299749704,0.006658124578937,0.800662869000424,0.807320993579361
2004-09-27,0.716716671417557,"landsat 5","forest",2004,271,0.711079041506545,0.00563762991101202,0.783139251929685,0.788776881840697
2004-10-04,0.705889632961202,"landsat 5","forest",2004,278,0.673872224934771,0.0320174080264308,0.758111475226427,0.790128883252857
2004-10-06,0.697085641970788,"landsat 5","forest",2004,280,0.661478188862286,0.0356074531085023,0.749415528381349,0.785022981489852
2004-10-13,0.697847760916966,"landsat 5","forest",2004,287,0.612672400914979,0.0851753600019871,0.713424247137936,0.798599607139923
2004-10-22,NA,"landsat 5","forest",2004,296,0.540865656772603,NA,0.655707462716721,NA
2004-11-05,0.400479509745342,"landsat 5","forest",2004,310,0.424943320964664,-0.0244638112193216,0.553132033354833,0.528668222135511
2004-11-07,0.400479509745342,"landsat 5","forest",2004,312,0.409297026636568,-0.00881751689122579,0.538799361081053,0.529981844189827
2004-11-14,0.361446702139149,"landsat 5","forest",2004,319,0.358209604252748,0.00323709788640075,0.492525378581777,0.495762476468178
2004-11-21,0.347282026895917,"landsat 5","forest",2004,326,0.313953270937231,0.0333287559586863,0.455397654725982,0.488726410684669
2004-11-23,0.263116348144166,"landsat 5","forest",2004,328,0.302656236777385,-0.0395398886332191,0.446916071574966,0.407376182941747
2004-11-30,0.263331265253754,"landsat 5","forest",2004,335,0.267691146953677,-0.00435988169992302,0.425487575799814,0.421127694099891
2004-12-09,0.329840019807682,"landsat 5","forest",2004,344,0.231800675526133,0.0980393442815495,0.416446734396755,0.514486078678305
2004-12-16,0.313852146748072,"landsat 5","forest",2004,351,0.208921873506087,0.104930273241985,0.421156466347709,0.526086739589694
2004-12-23,0.302527810316194,"landsat 5","forest",2004,358,0.18847184578737,0.114055964528824,0.432156921881754,0.546212886410578
2005-01-01,0.0674944609065264,"landsat 5","forest",2005,1,0.229226566158674,-0.161732105252147,0.450998671221766,0.289266565969619
2005-01-08,0.0674944609065264,"landsat 5","forest",2005,8,0.203452255345199,-0.135957794438673,0.436662330630514,0.300704536191841
2005-01-17,0.181260997269312,"landsat 5","forest",2005,17,0.173702685831407,0.00755831143790464,0.419238516691963,0.426796828129867
2005-01-24,0.17960547665818,"landsat 5","forest",2005,24,0.157322944390444,0.0222825322677359,0.407484617908712,0.429767150176448
2005-01-26,0.130139167429377,"landsat 5","forest",2005,26,0.15419330319024,-0.0240541357608626,0.40448759479106,0.380433459030198
2005-02-02,0.107170735793513,"landsat 5","forest",2005,33,0.149398541023099,-0.0422278052295856,0.395159276706145,0.35293147147656
2005-02-09,0.185797104541616,"landsat 5","forest",2005,40,0.153977861702029,0.0318192428395872,0.387010036135253,0.41882927897484
2005-02-11,0.19749990805989,"landsat 5","forest",2005,42,0.156785403858989,0.0407145042009013,0.384737727726386,0.425452231927287
2005-02-18,0.244582082214052,"landsat 5","forest",2005,49,0.170461023517377,0.0741210586966748,0.37638298312612,0.450504041822795
2005-02-25,0.250274313995081,"landsat 5","forest",2005,56,0.18758069181596,0.0626936221791205,0.36678794965213,0.429481571831251
2005-02-27,0.142950732998867,"landsat 5","forest",2005,58,0.192665661714792,-0.0497149287159251,0.363793633020791,0.314078704304866
2005-03-06,0.248908555073936,"landsat 5","forest",2005,65,0.210061356195872,0.0388471988780641,0.352873436107697,0.391720634985761
2005-03-13,0.24526771321054,"landsat 5","forest",2005,72,0.226291305103512,0.0189764081070283,0.342886214933174,0.361862623040203
2005-03-15,0.221384105456812,"landsat 5","forest",2005,74,0.230798055969049,-0.00941395051223654,0.340622289589322,0.331208339077085
2005-03-22,0.20087795381247,"landsat 5","forest",2005,81,0.247155708014019,-0.0462777542015494,0.336608425717009,0.290330671515459
2005-03-29,0.109684958180032,"landsat 5","forest",2005,88,0.266807788150243,-0.157122829970211,0.341691216609853,0.184568386639641
2005-04-07,0.309444206693342,"landsat 5","forest",2005,97,0.302258331166987,0.00718587552635458,0.366950863637321,0.374136739163676
2005-04-14,0.365285080682222,"landsat 5","forest",2005,104,0.34076978275814,0.0245152979240815,0.403233339250323,0.427748637174405
2005-04-16,0.382877711621726,"landsat 5","forest",2005,106,0.353670407232308,0.0292073043894175,0.416226755546322,0.44543405993574
2005-04-30,0.453888088995726,"landsat 5","forest",2005,120,0.463748323674515,-0.00986023467878849,0.53246005427449,0.522599819595701
2005-05-09,0.413552036966275,"landsat 5","forest",2005,129,0.543961532661489,-0.130409495695214,0.618080530726292,0.487671035031078
2005-05-16,0.424282867559078,"landsat 5","forest",2005,136,0.604256989151796,-0.179974121592718,0.681229527406333,0.501255405813615
2005-05-18,0.589019958910388,"landsat 5","forest",2005,138,0.620485832334255,-0.0314658734238671,0.697892224898742,0.666426351474875
2005-05-25,0.640417929887197,"landsat 5","forest",2005,145,0.672232330179287,-0.0318144002920902,0.749475907934066,0.717661507641976
2005-06-01,0.640036668584015,"landsat 5","forest",2005,152,0.714666157253881,-0.0746294886698656,0.788903730373112,0.714274241703246
2005-06-10,0.692517090529093,"landsat 5","forest",2005,161,0.754716691332939,-0.0621996008038462,0.82125881476695,0.759059213963103
2005-06-17,0.787975581166956,"landsat 5","forest",2005,168,0.775598286329691,0.0123772948372649,0.834208561149518,0.846585855986783
2005-06-19,0.793180493784904,"landsat 5","forest",2005,170,0.780146588092102,0.0130339056928019,0.836372091739878,0.84940599743268
2005-06-26,0.748180538423079,"landsat 5","forest",2005,177,0.791927548676325,-0.0437470102532465,0.840094798876439,0.796347788623192
2005-07-03,0.739478696729619,"landsat 5","forest",2005,184,0.798456683199117,-0.0589779864694977,0.840050888588874,0.781072902119376
2005-07-05,0.729861155442981,"landsat 5","forest",2005,186,0.799546873018337,-0.0696857175753564,0.839694363464999,0.770008645889643
2005-07-12,0.772852023814056,"landsat 5","forest",2005,193,0.801176352576452,-0.0283243287623957,0.838092816699111,0.809768487936716
2005-07-19,0.789520713241259,"landsat 5","forest",2005,200,0.800073928901595,-0.0105532156603364,0.836652411146512,0.826099195486175
2005-07-21,0.789520713241259,"landsat 5","forest",2005,202,0.79936958079884,-0.00984886755758074,0.836323591096923,0.826474723539342
2005-07-28,0.795479851704773,"landsat 5","forest",2005,209,0.79593075030736,-0.000450898602586736,0.835393308001933,0.834942409399346
2005-08-04,0.80918121543258,"landsat 5","forest",2005,216,0.791599281923103,0.017581933509477,0.834504688993661,0.852086622503138
2005-08-06,0.821795036156056,"landsat 5","forest",2005,218,0.790308164413279,0.0314868717427772,0.834197350854382,0.86568422259716
